Name, RA ,Dec ,Type,Date ,Dist
GRB 180720B,0.5316666666666667,-2.935,GRB,2019.05,z = 0.654
CTA 1,1.6083333333333334,72.98361111111112,PWN,2011.10,1.4 kpc
SHBL J001355.9-185406,3.466666666666667,-18.891388888888887,HBL,2010.11,z = 0.095
Tycho,6.340000000000001,64.13,Shell,2010.05,3.5 kpc
KUV 00311-1938,8.4,-19.35,HBL,2012.07,
1ES 0033+595,8.82,59.79,HBL,2011.10,z = 0.467
NGC 253,11.885583333333333,-25.29038888888889,Starburst,2009.07,2500 kpc
GRB 201216C,16.37033333333333,16.516111111111112,GRB,2020.12,z = 1.1
S2 0109+22,18.024166666666666,22.74416666666667,IBL,2015.07,
RGB J0136+391,24.135416666666668,39.1,HBL,2012.07,
RGB J0152+017,28.13958333333333,1.7778611111111111,HBL,2008.02,z = 0.08
3C 58,31.37916666666667,64.85,PWN,2014.05,2 kpc
TXS 0210+515,33.57458333333334,51.74777777777778,HBL,2019.01,z = 0.049
S3 0218+35,35.27291666666667,35.93722222222222,FSRQ,2014.07,z = 0.954
3C 66A,35.67333333333334,43.043194444444445,IBL,1998.03,z = 0.34
MAGIC J0223+403,35.8,43.01166666666666,UNID,2009.02,
1ES 0229+200,38.221666666666664,20.272499999999997,HBL,2006.12,z = 0.1396
1RXS J023832.6-311658,39.635416666666664,-31.282777777777778,HBL,2017.07,z = 0.232
LS I +61 303,40.141666666666666,61.25694444444444,Binary,2006.06,2 kpc
GRB 190829A,44.543791666666664,-8.957805555555554,GRB,2019.08,z = 0.0785
PKS 0301-243,45.847874999999995,-24.126627777777777,HBL,2012.07,z = 0.2657
IC 310,49.17916666666667,41.32472222222223,AGN (unknown type),2010.03,z = 0.0189
RBS 0413,49.945833333333326,18.761666666666667,HBL,2009.10,z = 0.19
NGC 1275,49.95041666666666,41.51166666666666,FRI,2010.10,z = 0.017559
GRB 190114C,54.504875,-26.946313888888888,GRB,2019.01,z = 0.4245
LHAASO J0341+5258,55.34,52.97,UNID,2021.08,
PKS 0346-27,57.15833333333333,-27.820555555555554,FSRQ,,z = 0.991
1ES 0347-121,57.34583333333333,-11.977222222222222,HBL,2007.08,z = 0.188
1ES 0414+009,64.22066666666666,1.089,HBL,2009.11,z = 0.287
PKS 0447-439,72.36749999999999,-43.836666666666666,HBL,2009.12,z = 0.343
1ES 0502+675,76.98416666666667,67.62333333333332,HBL,2009.11,z = 0.34
TXS 0506+056,77.35416666666667,5.702500000000001,Blazar,2017.10,z = 0.3365
VER J0521+211,80.4375,21.214277777777777,IBL,2009.10,
LMC N132D,81.19583333333334,-69.64722222222223,SNR/Molec. Cloud,2014.10,50 kpc
Crab,83.62875,22.01236111111111,PWN,1989.07,2 kpc
Crab Pulsar,83.63291666666666,22.0145,PSR,2008.11,2 kpc
30 Dor C,83.97916666666666,-69.18611111111112,Superbubble,2014.10,50 kpc
LMC P3,84.0,-67.58638888888889,Binary,2017.06,
LHA 120-N 157B,84.43333333333334,-69.16583333333334,PWN,2012.01,50 kpc
HAWC J0543+233,85.78,23.4,TeV Halo,2017.11,
PKS 0548-322,87.66,-32.27025,HBL,2007.07,z = 0.069
IC 443,94.2125,22.503055555555555,Shell,2007.05,1.5 kpc
LHAASO J0621+3755,95.47,37.919999999999995,PWN/TeV Halo,2021.06,
PKS 0625-35,96.7425,-35.49722222222222,AGN (unknown type),2015.07,z = 0.05486
Geminga,98.11666666666667,17.366666666666667,PWN/TeV Halo,2009.04,0.25 kpc
HESS J0632+057,98.25333333333333,5.7941666666666665,Binary,2007.07,1.4 kpc
Geminga Pulsar,98.47563749999999,17.770252777777777,PSR,2018.06,0.25 kpc
HAWC J0635+070,98.71,7.0,TeV Halo,2018.09,
RX J0648.7+1516,102.19,15.270000000000001,HBL,2010.03,z = 0.179
1ES 0647+250,102.69375,25.05,HBL,2011.09,
2HWC J0700+143,105.12,14.32,TeV Halo,2017.02,
RGB J0710+591,107.61,59.15,HBL,2009.02,z = 0.125
S5 0716+714,110.4725,71.34333333333333,IBL,2008.04,z = null
PGC 2402248,113.36125,51.89830555555555,HBL,2018.04,z = 0.065
PKS 0736+017,114.82083333333334,1.6033333333333335,FSRQ,2016.07,z = 0.18941
1ES 0806+524,122.49583333333334,52.31666666666667,HBL,2008.12,z = 0.138
1RXS J081201.8+023735,123.00774999999999,2.625861111111111,HBL,2021.02,z = 0.1721
